Lines_in_input Total_accounted_output Edges Duplicate_edges Self_loops
lines: 43359 43359 21496 21392 471
lines: 43605 43605 21564 21507 534
lines: 56446 56446 29510 26307 629
lines: 75991 75991 42268 33080 643
lines: 72150 72150 41140 30400 610
lines: 76143 76143 42671 32820 652
lines: 89467 89467 50814 37796 857
lines: 104861 104861 59375 44512 974
lines: 104850 104850 58599 45637 614
lines: 128371 128371 70045 58028 298
lines: 140803 140803 76712 63753 338
lines: 171650 171650 93287 77889 474
